Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
3.9952e-02,0.0655625
3.9984e-02,0.0644344
4.0016e-02,0.061775
4.0048e-02,0.0596719
4.0080e-02,0.057225
4.0112e-02,0.0550187
4.0144e-02,0.0530969
4.0176e-02,0.0517531
4.0208e-02,0.0504812
4.0240e-02,0.0500875
4.0272e-02,0.0484625
4.0304e-02,0.0467469
4.0336e-02,0.0457312
4.0368e-02,0.0444312
4.0400e-02,0.0428562
4.0432e-02,0.0416937
4.0464e-02,0.0402469
4.0496e-02,0.0398906
4.0528e-02,0.0381687
4.0560e-02,0.0374094
4.0592e-02,0.0377562
4.0624e-02,0.0373437
4.0656e-02,0.0366531
4.0688e-02,0.0357781
4.0720e-02,0.0357406
4.0752e-02,0.0345031
4.0784e-02,0.0328781
4.0816e-02,0.0324219
4.0848e-02,0.0323656
4.0880e-02,0.0324312
4.0912e-02,0.0330719
4.0944e-02,0.0320406
4.0976e-02,0.031075
4.1008e-02,0.0306719
4.1040e-02,0.0298312
4.1072e-02,0.0302375
4.1104e-02,0.0307094
4.1136e-02,0.0304281
4.1168e-02,0.0301187
4.1200e-02,0.029725
4.1232e-02,0.0290812
4.1264e-02,0.0287781
4.1296e-02,0.0290281
4.1328e-02,0.0289625
4.1360e-02,0.0286062
4.1392e-02,0.0284625
4.1424e-02,0.0285406
4.1456e-02,0.0281719
4.1488e-02,0.0288625
4.1520e-02,0.028625
4.1552e-02,0.0281125
4.1584e-02,0.0280469
4.1616e-02,0.0282906
4.1648e-02,0.0286344
4.1680e-02,0.0289906
4.1712e-02,0.0282625
4.1744e-02,0.0289156
4.1776e-02,0.0300687
4.1808e-02,0.0304625
4.1840e-02,0.0315344
4.1872e-02,0.0307781
4.1904e-02,0.030475
4.1936e-02,0.0306031
4.1968e-02,0.0309594
4.2000e-02,0.0309719
4.2032e-02,0.0308656
4.2064e-02,0.0306437
4.2096e-02,0.0304812
4.2128e-02,0.0304531
4.2160e-02,0.0293719
4.2192e-02,0.0288344
4.2224e-02,0.0286375
4.2256e-02,0.0276531
4.2288e-02,0.0289594
4.2320e-02,0.0295156
4.2352e-02,0.0300219
4.2384e-02,0.0298812
4.2416e-02,0.0298312
4.2448e-02,0.0293906
4.2480e-02,0.0290781
4.2512e-02,0.0307406
4.2544e-02,0.0316312
4.2576e-02,0.0314875
4.2608e-02,0.0313187
