Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.6152e+01,-0.00348,-0.00588
-1.6144e+01,-0.00308,0.00148
-1.6137e+01,-0.003,-0.00676
-1.6129e+01,-0.00292,0.00052
-1.6121e+01,-0.003,-0.00676
-1.6114e+01,-0.00292,0.00268
-1.6106e+01,-0.00292,-0.00996
-1.6098e+01,-0.003,0.00028
-1.6091e+01,-0.00252,-0.00612
-1.6083e+01,-0.00276,0.00156
-1.6075e+01,-0.00348,-0.00756
-1.6068e+01,-0.00324,0.001
-1.6060e+01,-0.00268,-0.007
-1.6052e+01,-0.00292,0.0022
-1.6045e+01,-0.003,-0.00764
-1.6037e+01,-0.00228,0.00212
-1.6029e+01,-0.00284,-0.00676
-1.6022e+01,-0.00308,0.00212
-1.6014e+01,-0.00268,-0.00652
-1.6006e+01,-0.00276,0.00228
-1.5998e+01,-0.00244,-0.00708
-1.5991e+01,-0.0026,-0.00052
-1.5983e+01,-0.00228,-0.00468
-1.5975e+01,-0.0026,0.00132
-1.5968e+01,-0.00276,-0.00628
-1.5960e+01,-0.00292,0.00116
-1.5952e+01,-0.00316,-0.00644
-1.5945e+01,-0.00236,0.00244
-1.5937e+01,-0.00268,-0.0078
-1.5929e+01,-0.00284,0.00196
-1.5922e+01,-0.0026,-0.00684
-1.5914e+01,-0.00284,0.00164
-1.5906e+01,-0.00292,-0.00692
-1.5899e+01,-0.00276,0.00252
-1.5891e+01,-0.003,-0.0078
-1.5883e+01,-0.00292,0.00124
-1.5876e+01,-0.00316,-0.00636
-1.5868e+01,-0.00252,0.00268
-1.5860e+01,-0.00236,-0.00772
-1.5853e+01,-0.00236,0.00068
-1.5845e+01,-0.00284,-0.00572
-1.5837e+01,-0.00284,0.0018
-1.5829e+01,-0.00236,-0.00684
-1.5822e+01,-0.003,0.00108
-1.5814e+01,-0.00268,-0.0066
-1.5806e+01,-0.00268,0.0006
-1.5799e+01,-0.00284,-0.00676
-1.5791e+01,-0.00268,0.00132
-1.5783e+01,-0.00276,-0.00716
-1.5776e+01,-0.00316,0.00156
-1.5768e+01,-0.00284,-0.00756
-1.5760e+01,-0.00252,0.00164
-1.5753e+01,-0.00228,-0.0066
-1.5745e+01,-0.0026,0.00268
-1.5737e+01,-0.00284,-0.00996
-1.5730e+01,-0.00284,0.00084
-1.5722e+01,-0.00308,-0.00716
