Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3757,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Label,,
TIME,CH1,CH1 Peak Detect
-1.5169e+01,-0.0038,-0.0122
-1.5161e+01,-0.003,0.0038
-1.5154e+01,-0.0042,-0.0114
-1.5146e+01,-0.0054,0.005
-1.5138e+01,-0.003,-0.0122
-1.5131e+01,-0.0034,0.0078
-1.5123e+01,-0.003,-0.0162
-1.5115e+01,-0.0046,0.0066
-1.5108e+01,-0.0054,-0.0146
-1.5100e+01,-0.0042,0.005
-1.5092e+01,-0.0042,-0.0134
-1.5084e+01,-0.0026,0.0054
-1.5077e+01,-0.003,-0.0126
-1.5069e+01,-0.0026,0.005
-1.5061e+01,-0.0042,-0.0126
